Job Post ID,Required Education Level,Years of Experience
W4G3G5,High School or Equivalent,5-6 Years
W6F4C4,Some College/University,3-4 Years
B3P7N8,High School or Equivalent,3-4 Years
B8X5P5,Some College/University,1-2 Years
C6B6Q3,High School or Equivalent,5-6 Years
D2P3K6,High School or Equivalent,3-4 Years
G2C2M3,High School or Equivalent,5-6 Years
H5C6U5,Certificate/Diploma,1-2 Years
K2S3Y6,High School or Equivalent,5-6 Years
N3C8N2,High School or Equivalent,1-2 Years
N4Y4V3,High School or Equivalent,1-2 Years
T4W7Q8,High School or Equivalent,3-4 Years
W4H2U3,High School or Equivalent,1-2 Years
X2Y8M3,High School or Equivalent,5-6 Years
Y4K8J4,High School or Equivalent,5-6 Years
Y5X6N8,High School or Equivalent,5-6 Years
A4S3N6,High School or Equivalent,Less Than 1 Year
A5Y7F7,High School or Equivalent,1-2 Years
A8C7N5,High School or Equivalent,3-4 Years
B2S8E4,High School or Equivalent,10+ Years
B3E2B4,High School or Equivalent,5-6 Years
B4N8E2,Some College/University,3-4 Years
B4Y3V7,Bachelor큦 Degree,3-4 Years
B5F6S5,High School or Equivalent,1-2 Years
B7A6V3,Certificate/Diploma,5-6 Years
B8J4U6,Certificate/Diploma,5-6 Years
B8N5T6,High School or Equivalent,5-6 Years
B8P7E6,High School or Equivalent,1-2 Years
C2K4R5,Bachelor큦 Degree,5-6 Years
C2X6F6,High School or Equivalent,3-4 Years
C3C4D4,Certificate/Diploma,3-4 Years
C4D2F6,High School or Equivalent,5-6 Years
C6Q3X2,High School or Equivalent,1-2 Years
D3M3P4,High School or Equivalent,Less Than 1 Year
D4H4V4,Bachelor큦 Degree,9-10 Years
D4T5J5,High School or Equivalent,5-6 Years
D6U7G6,High School or Equivalent,5-6 Years
E2P3G8,High School or Equivalent,7-8 Years
E2U2C5,High School or Equivalent,3-4 Years
E3G6B8,Bachelor큦 Degree,5-6 Years
E3P3S8,Certificate/Diploma,9-10 Years
E3Y3W5,Certificate/Diploma,5-6 Years
E4G4A7,Bachelor큦 Degree,5-6 Years
E4T8K4,Certificate/Diploma,1-2 Years
E6W3Q4,Certificate/Diploma,5-6 Years
E7J4Q3,Some College/University,Less Than 1 Year
E8X7T4,Master큦 Degree,5-6 Years
F2M7Y5,Certificate/Diploma,3-4 Years
F4V2U6,High School or Equivalent,3-4 Years
F5H3M6,Certificate/Diploma,10+ Years
