Job Post ID,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,Annualised Minimum Salary in KYD,Annualised Maximum Salary in KYD,Mean Annual Salary in KYD
W4G3G5,45,KYD,Bi-Weekly,"KYD$28,080 - KYD$42,120 Per Annum (paid Bi-Weekly)",28080,42120,28080,42120,35100
W6F4C4,45,KYD,Per Month,"KYD$19,500 - KYD$28,600 Per Annum (paid Monthly)",19500,28600,19500,28600,24050
B3P7N8,40,KYD,Bi-Weekly,"KYD$1,080 - KYD$3,500 Bi-Weekly (paid Bi-Weekly)",28080,91000,28080,91000,59540
B8X5P5,40,KYD,Per Week,"KYD$20,800 - KYD$24,960 Per Annum (paid Weekly)",20800,24960,20800,24960,22880
C6B6Q3,47.5,KYD,Bi-Weekly,"KYD$24,700 - KYD$29,640 Per Annum (paid Bi-Weekly)",24700,29640,24700,29640,27170
D2P3K6,45,KYD,Per Hour,"KYD$23,400 Per Annum (paid Per Hour)",23400,23400,23400,23400,23400
G2C2M3,40,KYD,Per Hour,"KYD$12,480 - KYD$18,720 Per Annum (paid Per Hour)",12480,18720,12480,18720,15600
H5C6U5,45,KYD,Per Month,"KYD$21,600 - KYD$36,000 Per Annum (paid Monthly)",21600,36000,21600,36000,28800
K2S3Y6,40,KYD,Per Hour,KYD$6 Per Hour (paid Per Hour),12480,12480,12480,12480,12480
N3C8N2,40,KYD,Per Week,"KYD$27,999.92 Per Annum (paid Weekly)",27999.92,27999.92,27999.92,27999.92,27999.92
N4Y4V3,45,KYD,Per Month,"KYD$1,170 - KYD$2,500 Monthly",14040,30000,14040,30000,22020
T4W7Q8,40,KYD,Per Week,KYD$400 - KYD$600 Weekly,20800,31200,20800,31200,26000
W4H2U3,45,KYD,Per Hour,KYD$9 - KYD$10 Per Hour (paid Per Hour),21060,23400,21060,23400,22230
X2Y8M3,45.5,KYD,Per Month,"KYD$18,005.26 - KYD$19,211.92 Per Annum (paid Monthly)",18005.26,19211.92,18005.26,19211.92,18608.59
Y4K8J4,40,KYD,Per Hour,KYD$6 Per Hour (paid Per Hour),12480,12480,12480,12480,12480
Y5X6N8,45,KYD,Bi-Weekly,"KYD$35,100 - KYD$42,120 Per Annum (paid Bi-Weekly)",35100,42120,35100,42120,38610
A4S3N6,45,KYD,Per Month,"KYD$14,040 - KYD$16,380 Per Annum (paid Monthly)",14040,16380,14040,16380,15210
A5Y7F7,45,KYD,Bi-Weekly,KYD$11 - KYD$12 Per Hour (paid Bi-Weekly),25740,28080,25740,28080,26910
A8C7N5,37.5,USD,Per Month,"USD$30,000 - USD$36,000 Per Annum (paid Monthly)",30000,36000,25000,30000,27500
B2S8E4,45,KYD,Per Week,KYD$630 Weekly,32760,32760,32760,32760,32760
B3E2B4,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),14040,18720,14040,18720,16380
B4N8E2,40,KYD,Per Month,KYD$10 - KYD$15 Per Hour (paid Monthly) + gratuities,20800,31200,20800,31200,26000
B4Y3V7,40,USD,Per Month,"USD$55,000 - USD$70,000 Per Annum (paid Monthly)",55000,70000,45833.33,58333.33,52083.33
B5F6S5,45,KYD,Per Month,"KYD$32,500 - KYD$38,350 Per Annum (paid Monthly)",32500,38350,32500,38350,35425
B7A6V3,42.5,KYD,Per Month,"KYD$3,200.82 - KYD$3,449.44 Monthly",38409.8,41393.3,38409.8,41393.3,39901.55
B8J4U6,42.5,KYD,Per Year,"KYD$33,150 - KYD$44,200 Per Annum (paid Per Annum)",33150,44200,33150,44200,38675
B8N5T6,45,KYD,Per Week,KYD$270 - KYD$540 Weekly,14040,28080,14040,28080,21060
B8P7E6,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
C2K4R5,37.5,USD,Per Month,USD$51.28 - USD$61.54 Per Hour (paid Monthly),100000,120000,83333.33,100000,91666.67
C2X6F6,45,KYD,Bi-Weekly,KYD$12 - KYD$15 Per Hour (paid Bi-Weekly),28080,35100,28080,35100,31590
C3C4D4,45,KYD,Per Hour,KYD$10 - KYD$14 Per Hour (paid Per Hour),23400,32760,23400,32760,28080
C4D2F6,45,KYD,Per Month,"KYD$14,040 Per Annum (paid Monthly)",14040,14040,14040,14040,14040
C6Q3X2,45,USD,Bi-Weekly,USD$6 - USD$9 Per Hour (paid Bi-Weekly) + gratuities,14040,21060,11700,17550,14625
D3M3P4,45,KYD,Per Week,"KYD$23,985 - KYD$33,017.4 Per Annum (paid Weekly)",23985,33017.4,23985,33017.4,28501.2
D4H4V4,37.5,USD,Per Month,"USD$140,000 - USD$160,000 Per Annum (paid Monthly)",140000,160000,116666.67,133333.33,125000
D4T5J5,45,KYD,Bi-Weekly,KYD$8 - KYD$12 Per Hour (paid Bi-Weekly),18720,28080,18720,28080,23400
D6U7G6,45,KYD,Bi-Weekly,KYD$10 - KYD$15 Per Hour (paid Bi-Weekly),23400,35100,23400,35100,29250
E2P3G8,45,KYD,Per Month,"KYD$38,001.6 - KYD$42,494.4 Per Annum (paid Monthly)",38001.6,42494.4,38001.6,42494.4,40248
E2U2C5,45,KYD,Per Week,KYD$292.5 - KYD$315 Weekly,15210,16380,15210,16380,15795
E3G6B8,45,KYD,Per Month,"KYD$6,000 - KYD$8,000 Monthly",72000,96000,72000,96000,84000
E3P3S8,45,KYD,Per Week,KYD$810 - KYD$990 Weekly,42120,51480,42120,51480,46800
E3Y3W5,50,KYD,Per Day,"KYD$39,000 - KYD$57,200 Per Annum (paid Per Day)",39000,57200,39000,57200,48100
E4G4A7,37.5,USD,Per Month,"USD$90,000 - USD$110,000 Per Annum (paid Monthly)",90000,110000,75000,91666.67,83333.33
E4T8K4,45,USD,Bi-Weekly,USD$8 - USD$12 Per Hour (paid Bi-Weekly) + gratuities,18720,28080,15600,23400,19500
E6W3Q4,45,KYD,Bi-Weekly,"KYD$1,350 - KYD$1,620 Bi-Weekly (paid Bi-Weekly)",35100,42120,35100,42120,38610
E7J4Q3,40,KYD,Per Month,"KYD$2,000 - KYD$5,000 Monthly",24000,60000,24000,60000,42000
E8X7T4,40,KYD,Per Month,"KYD$1,800 - KYD$3,200 Monthly",21600,38400,21600,38400,30000
F2M7Y5,40,KYD,Bi-Weekly,KYD$9 - KYD$12 Per Hour (paid Bi-Weekly),18720,24960,18720,24960,21840
F4V2U6,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
F5H3M6,45,KYD,Per Week,"KYD$2,000 - KYD$2,100 Weekly",104000,109200,104000,109200,106600
F6C6H4,45,KYD,Per Month,"KYD$3,999.45 - KYD$4,999.8 Monthly",47993.4,59997.6,47993.4,59997.6,53995.5
F6S8D7,40,KYD,Per Week,KYD$240 - KYD$300 Weekly,12480,15600,12480,15600,14040
F8Q7V8,47.5,KYD,Per Week,KYD$500 - KYD$600 Weekly,26000,31200,26000,31200,28600
F8X7D2,40,USD,Bi-Monthly,USD$13.75 Per Hour (paid Bi-Monthly) + gratuities,28600,28600,23833.33,23833.33,23833.33
G3U2X3,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
G7A7A6,45,KYD,Per Week,"KYD$21,060 - KYD$35,100 Per Annum (paid Weekly)",21060,35100,21060,35100,28080
G7H2K6,40,USD,Per Month,"USD$5,833.33 - USD$7,500 Monthly",69999.96,90000,58333.3,75000,66666.65
H3N6K6,45,KYD,Bi-Weekly,KYD$600.3 - KYD$800.1 Bi-Weekly (paid Bi-Weekly) + gratuities,15607.8,20802.6,15607.8,20802.6,18205.2
H3Y6S5,45,KYD,Per Week,KYD$337.5 - KYD$540 Weekly,17550,28080,17550,28080,22815
H8B5M3,45,KYD,Per Week,"KYD$32,760 - KYD$70,200 Per Annum (paid Weekly)",32760,70200,32760,70200,51480
J4M5K5,40,KYD,Per Week,KYD$9 - KYD$14 Per Hour (paid Weekly),18720,29120,18720,29120,23920
K3B6K6,40,KYD,Per Week,KYD$320 - KYD$480 Weekly,16640,24960,16640,24960,20800
K3R7D6,45,USD,Per Week,"USD$46,004.4 - USD$50,005.8 Per Annum (paid Weekly)",46004.4,50005.8,38337,41671.5,40004.25
K5N8J5,45,KYD,Bi-Weekly,KYD$810 - KYD$990 Bi-Weekly (paid Bi-Weekly),21060,25740,21060,25740,23400
K7Y6C4,35,KYD,Per Week,KYD$6.5 Per Hour (paid Weekly),11830,11830,11830,11830,11830
M2E2C3,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),14040,18720,14040,18720,16380
M3U5R8,45,KYD,Bi-Monthly,KYD$8 - KYD$10 Per Hour (paid Bi-Monthly),18720,23400,18720,23400,21060
M3X8G3,39,KYD,Per Month,"KYD$1,690 - KYD$2,366 Monthly",20280,28392,20280,28392,24336
M4M7U4,37.5,USD,Per Month,"USD$120,000 - USD$145,000 Per Annum (paid Monthly)",120000,145000,100000,120833.33,110416.67
M5K6N4,45,KYD,Bi-Monthly,"KYD$975 - KYD$1,316.25 Bi-Monthly (paid Bi-Monthly)",23400,31590,23400,31590,27495
N2M4E4,45,KYD,Per Week,KYD$480 - KYD$600 Weekly,24960,31200,24960,31200,28080
N2M8W8,45,USD,Per Month,"USD$70,000 - USD$85,000 Per Annum (paid Monthly)",70000,85000,58333.33,70833.33,64583.33
N4E8S3,37.5,KYD,Per Month,"KYD$80,690 - KYD$100,860 Per Annum (paid Monthly)",80690,100860,80690,100860,90775
N6A7W6,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour),23400,28080,23400,28080,25740
N8S6E6,45,KYD,Per Month,"KYD$37,440 - KYD$46,800 Per Annum (paid Monthly)",37440,46800,37440,46800,42120
P2P5W7,45,KYD,Per Month,"KYD$14,040 - KYD$21,060 Per Annum (paid Monthly) + gratuities",14040,21060,14040,21060,17550
P3P7J6,45,KYD,Bi-Weekly,KYD$7.5 - KYD$9.5 Per Hour (paid Bi-Weekly) + gratuities,17550,22230,17550,22230,19890
